"text","label"
"Use alerting thresholds based on SLOs, not raw metrics.","preference"
"TLS 1.3 removes legacy cipher suites and reduces the handshake to one round trip.","semantic"
"Connection pooling with PgBouncer reduces overhead of frequent DB connections.","semantic"
"After testing four memory retrieval strategies, cosine similarity on MiniLM embeddings outperforms keyword search by 40 percent on recall@10. Hybrid adds 5 percent more but doubles latency.","synthesis"
"To enable WAL archiving in Postgres: set wal_level to replica, archive_mode to on, configure archive_command.","procedural"
"Synthesizing the results of comparing ONNX versus native PyTorch inference on the memory classifier: ONNX Runtime on CPU is 3x faster than PyTorch with no accuracy difference. The portability benefit is also significant.","synthesis"
"ARM64 is the 64-bit instruction set architecture used by Apple Silicon.","semantic"
"After reviewing the memory classifier confusion matrix across 500 production examples at 91 percent accuracy, the 9 percent errors cluster into two buckets: procedural vs preference at 5 percent and episodic vs synthesis at 4 percent.","synthesis"
"After analyzing three months of user behavior data, power users engage with Booker primarily for recurring appointments, not one-off bookings. This suggests the product roadmap should prioritize recurring scheduling and subscription billing over single-use flows.","synthesis"
"To file a GitHub issue: use the bug template, fill in steps to reproduce, expected vs actual behavior, environment info, severity label.","procedural"
"A managed identity in Azure allows a service to authenticate without credentials.","semantic"
"After reviewing the Sulcus privacy model against GDPR requirements, we identified two gaps: memories are not deletable by end users, and memory content is not encrypted at rest. Both are fixable with a single sprint of work.","synthesis"
"I want the Sulcus API to return the assigned memory type in the response.","preference"
"I want branch protection on main — no direct pushes, ever.","preference"
"The container build failed on CI due to a changed base image digest.","episodic"
"We adopted TDD for the payment module after the third production bug.","episodic"
"Function calling in LLMs allows models to invoke tools with structured arguments.","semantic"
"Synthesizing the results of three pricing model tests: metered pricing caused the most friction, flat monthly was preferred but had lower conversion, freemium with a 30-day trial had the highest 90-day retention. Freemium wins for a B2C scheduling tool.","synthesis"
"To connect to the production database: use the bastion host via ProxyJump, then psql with the read-only user for analytics queries.","procedural"
"Always tag metrics with environment, service, and version.","preference"
"Logistic regression outputs class probabilities via softmax.","semantic"
"Reviewed the competitive landscape doc with Dooley for two hours.","episodic"
"To deploy to Azure Container Apps: build the Docker image locally, push to ACR, then run az containerapp update.","procedural"
"Agent session startup: load SOUL.md, USER.md, today memory file, MEMORY.md, HEARTBEAT.md, IDENTITY.md in that order.","procedural"
"To set up the Sulcus agent profile: POST to /profiles with agent_id, decay_config, and namespace, store the profile_id.","procedural"
"To set up pgvector: run CREATE EXTENSION vector, define the column as vector(384), create an ivfflat index.","procedural"
"Word2Vec, GloVe, and FastText are classic static word embedding methods.","semantic"
"Package update workflow: run pnpm outdated, review breaking changes in CHANGELOGs, update in a separate PR, run CI.","procedural"
"Synthesizing the findings from the memory classifier confusion matrix: the hardest class pairs are procedural/preference and semantic/synthesis. Adding contrastive examples for these pairs is the highest-leverage training improvement.","synthesis"
"Use consistent commit message format: feat, fix, chore, etc.","preference"
"pgvector is a PostgreSQL extension for storing and querying embedding vectors.","semantic"
"ACID stands for Atomicity, Consistency, Isolation, Durability.","semantic"
"The Booker pricing analysis after A/B testing four price points: $19 per month maximizes trial-to-paid conversion, $29 per month maximizes revenue per customer, $49 per month has the highest LTV. The optimal choice depends on whether we optimize for growth or revenue.","synthesis"
"To archive dormant memories: select memories where heat < threshold and last_accessed < 90 days ago, move to cold_storage table.","procedural"
"To validate the ONNX model accuracy: run classify.py on the held-out test set, compute accuracy and confusion matrix.","procedural"
"The technical debt audit across the Sulcus codebase identifies three high-priority areas: the memory insertion path has no error recovery, the webhook handler has no idempotency key, and the ONNX model loading is synchronous and blocks the event loop. Each is a single-session fix.","synthesis"
"Dooley signed the paperwork to register Digital Forge Studios LLC.","episodic"
"After running the Sulcus system for 60 days, the memory type distribution stabilized at: episodic 35 percent, semantic 30 percent, preference 20 percent, procedural 12 percent, synthesis 3 percent. This matches expected human memory distribution.","synthesis"
"I want Booker confirmation emails to be plain text, not HTML.","preference"
"Kubernetes pods are the smallest deployable units in a K8s cluster.","semantic"
"To add tracing to the Sulcus API: instrument each handler with opentelemetry spans, export to Jaeger or Azure Monitor.","procedural"
"To monitor memory classifier drift: compare weekly accuracy reports, retrain when accuracy drops below 88 percent.","procedural"
"After testing the Sulcus API across 4 client implementations, the Python SDK has the most friction due to async/sync mismatch. A synchronous wrapper for the most common operations would eliminate 80 percent of the support tickets from Python users.","synthesis"
"Memory type assignment workflow: classify text with ONNX model, if confidence below 0.7 flag for review, else commit the label.","procedural"
"Always write unit tests alongside new functions, not after.","preference"
"After comparing three monitoring solutions, Azure Monitor wins on integration simplicity and cost at current scale. Grafana Cloud wins on query flexibility. Datadog loses on cost at our volume.","synthesis"
"Always use HTTPS, never plain HTTP — even locally when possible.","preference"
"Reviewing the classifier errors on the production memory log: 12 percent of episodic memories were misclassified as preference because they contained the word prefer in past tense. Adding tense-aware features or more contrastive training examples would fix this.","synthesis"
"JSON Web Tokens have three base64url-encoded parts: header, payload, signature.","semantic"
"The security audit synthesis identified three patterns across all vulnerabilities: missing input sanitization, over-privileged service accounts, and secrets in environment variables. All three are fixable with a single sprint of hardening work.","synthesis"
"Use uuidv7 over uuidv4 for new IDs — it is time-ordered and index-friendly.","preference"
"Synthesizing three architecture options for Sulcus sync conflict resolution: last-write-wins is simplest but lossy; CRDT merge is correct but complex; user-prompted resolution is correct but requires UI. For v1, last-write-wins with conflict logging; CRDT for v2.","synthesis"
"Cargo release workflow: update Cargo.toml version, run cargo test --all, tag with git tag, push tags.","procedural"
"Dooley approved the new pricing model in our morning sync.","episodic"
"To set up a new Mac for dev: install Homebrew, Rust via rustup, Node via nvm, clone the repos, configure SSH keys.","procedural"
"Use concise, direct commit messages — not essays.","preference"
"To add telemetry to a Rust function: wrap the body with a tracing instrument span, add key fields as attributes.","procedural"
"I always deploy to staging first — production only after staging is green.","preference"
"I prefer dark mode in all editors and terminals.","preference"
"Poetry manages Python project dependencies and virtual environments.","semantic"
"Prefer pagination over returning unlimited result sets.","preference"
"To implement a memory heat boost on access: UPDATE memories SET heat = heat + boost WHERE id = $1, then recompute decay.","procedural"
"Always sort imports — stdlib, third-party, local — separated by blank lines.","preference"
"I prefer weekly memory digests over real-time memory notifications.","preference"
"Prefer ONNX over TensorFlow SavedModel for portability.","preference"
"After analyzing 6 weeks of Discord engagement data, technical posts with code snippets get 3x more reactions than opinion posts. The audience is developer-first. Content strategy should prioritize depth over breadth.","synthesis"
"The newsletter went out this morning and got a 42 percent open rate.","episodic"
"I prefer soft deletes over hard deletes for user-facing records.","preference"
"Rust lifetimes ensure references do not outlive the data they point to.","semantic"
"Always include confidence scores when the classifier is uncertain.","preference"
"To seed the classifier training data: generate examples per class, ensure label distribution is balanced, shuffle before split.","procedural"
"Keep variable names descriptive — never use single-letter names except loop counters.","preference"
"Dooley likes his coffee black, no sugar.","preference"
"Post-deployment smoke test: call /health, insert a test memory, retrieve it, verify the type, delete it.","procedural"
"Stripe webhook setup: create endpoint in dashboard, copy signing secret to env, implement HMAC verification in the handler.","procedural"
"Always prefer explicit over implicit — make the code say what it does.","preference"
"I want the agent to surface the top 3 relevant memories at session start.","preference"
"Ran the first multiregion deployment for Sulcus — West US 2 and East US 2 active.","episodic"
"I do not like using any in TypeScript — enforce strict mode always.","preference"
"To add a new migration: create a timestamped file in migrations/, write up and down SQL, run the migrator against staging first.","procedural"
"The Rust Arc type allows multiple ownership of heap data across threads.","semantic"
"To submit a newsletter: finalize copy, test in Litmus, schedule in Ghost for 9am PST Tuesday, track opens for 48 hours.","procedural"
"To train the Sulcus classifier: install requirements, run python train.py, inspect the evaluation metrics, copy ONNX to the target path.","procedural"
"I want Icarus to be concise — get to the point, no padding.","preference"
"Set up the staging environment as a mirror of production — parity achieved.","episodic"
"The content performance analysis across YouTube, Twitter, and LinkedIn over 60 days shows: technical content performs best on LinkedIn, opinion content works on Twitter, and visual demos dominate YouTube. Content repurposing must account for platform-specific tone.","synthesis"
"To implement pagination: accept page and page_size params, compute offset, add ORDER BY and LIMIT/OFFSET to the query.","procedural"
"I want the agent to flag low-confidence classifications for human review.","preference"
"Always version API routes — never break backwards compatibility without a version bump.","preference"
"To onboard a new subagent: define its task in the spawn call, set the model to Sonnet, assign a label, wait for the auto-announce.","procedural"
"The Godot export broke on the CI runner after the Rust dependency update.","episodic"
"Submitted the app to the App Store and it is under review.","episodic"
"Always pin dependency versions in production deployments.","preference"
"To set up the Sulcus read-through cache: on cache miss, fetch from DB, cache result for 5 minutes, return to caller.","procedural"
"To delete a dormant memory manually: call DELETE /memories/{id}, verify the node is removed from the index.","procedural"
"The competitive analysis confirms Sulcus moat is thermodynamic decay — no other open-source memory system models forgetting. This is defensible and technically hard to replicate. All marketing should lead with this.","synthesis"
"SSH public-key authentication verifies a challenge signed with the private key.","semantic"
"To split a dataset into train/val/test: use an 80/10/10 split, stratify by label to preserve class distribution.","procedural"
"To set up Tailscale on a new node: install tailscale, run tailscale up with the authkey, verify with tailscale status.","procedural"
"Synthesizing user interview feedback from 8 beta users: the most common friction point is the lack of a why did this memory surface explanation. Users trust the system more when they understand the thermodynamic decay. Adding a heat visualization to the UI is the highest-leverage feature for retention.","synthesis"
"The app got featured on Hacker News — traffic spiked to 400 concurrent users.","episodic"
"After reviewing the ONNX classifier results across 5 model sizes, MiniLM-L6-v2 is the clear winner for our use case: 93 percent accuracy, 8ms inference, 80MB on disk. DistilBERT is 2 percent more accurate but 4x slower — not worth it at our latency budget.","synthesis"
"To check if a memory should be synthesized: cluster by embedding similarity, if cluster size >= 3 trigger synthesis.","procedural"
"To configure alert routing in Grafana: create a notification policy, set the receiver, test with a firing alert.","procedural"
"The first Sulcus enterprise trial converted to a paid contract.","episodic"
"Use debouncing for memory writes — do not store every intermediate state.","preference"
"Rust enums with data variants replace nullable fields and union types.","semantic"
"Memory nodes in Sulcus have a heat property that decays over time.","semantic"
"Set up the first Sulcus integration test using real production-shaped data.","episodic"
"Semantic memory stores factual, context-free knowledge.","semantic"
"After running the Sulcus system at scale for 3 months, synthesis memories have the highest downstream agent value — agents using synthesis memories make better decisions and require fewer clarification loops.","synthesis"
"I prefer feature branches off main, not off other feature branches.","preference"
"Argon2 is the recommended password hashing algorithm as of 2023.","semantic"
"The first enterprise prospect demoed Sulcus and asked for a pilot.","episodic"
"Reviewing the Sulcus API versioning strategy after 6 months: maintaining v1 and v2 simultaneously has not created significant burden, and the ability to break changes in v2 unblocked several architectural improvements. This validates the versioning investment.","synthesis"
"After analyzing the Sulcus decay parameters across three agent profiles, the optimal lambda values are: episodic 0.05, semantic 0.01, preference 0.02, procedural 0.03, synthesis 0.005. Synthesis memories should decay slowest — they represent distilled insight.","synthesis"
"PR naming convention: feat/feature-name, fix/bug-description, chore/task-name — all lowercase kebab-case.","procedural"
"Restart sequence for Sulcus: validate config first with openclaw doctor, then run openclaw gateway restart.","procedural"
"Dooley does not want automated emails sent without a dry-run preview first.","preference"
"Ran the memory classifier on 1000 synthetic examples — 93 percent accuracy.","episodic"
"Reviewing the Booker competitive set: the incumbents have superior brand awareness but weaker AI features. Booker can win on intelligent scheduling suggestions and agent-driven follow-ups. Feature parity is not the goal — AI differentiation is.","synthesis"
"Deployed the new billing endpoint to production after three staging runs.","episodic"
"The VPS went down at 2am — rebooted fine, uptime restored within 10 minutes.","episodic"
"Ran the Sulcus load test at 1000 concurrent users — p99 was 180ms.","episodic"
"Database backup procedure: run pg_dump -Fc, upload to Azure Blob Storage, verify integrity with pg_restore --list.","procedural"
"Cross-referencing the support tickets with feature usage logs, the churn cluster is almost entirely users who never completed onboarding. The product itself is not the problem — activation is. Fixing the first-run experience will have more impact than any new feature.","synthesis"
"To set up Blue-Green deployment on Container Apps: create two revisions, use traffic splitting, monitor, then shift 100 percent.","procedural"
"To deploy the Sulcus inference service: docker build, tag with the model version, push to ACR, update the Container App.","procedural"
"p99 latency means 99 percent of requests complete within that time.","semantic"
"The weekly newsletter hit 1000 subscribers today.","episodic"
"The Godot build finally compiled without errors after two days of linking issues.","episodic"
"To update the classifier training data: add new examples, re-run balance check, retrain with python train.py, validate metrics.","procedural"
"Reviewing the cold outreach data: the best-converting segment is solo developers building internal tools, not enterprise buyers. They have budget authority, respond quickly, and need less social proof. The ICP should be updated to target this persona first.","synthesis"
"pgvector supports exact and approximate nearest neighbor search.","semantic"
"Model quantization reduces precision from FP32 to INT8 to shrink model size.","semantic"
"To set up Azure Container Apps autoscaling: define scale rules in YAML, set min 0 and max 10 replicas, trigger on HTTP traffic.","procedural"
"Based on analysis of five competing AI assistant tools, the key differentiator for Sulcus is persistence with decay — none of the competitors model forgetting. This is both the hardest thing to build and the most defensible moat. Lean into it in all marketing messaging.","synthesis"
"A CORS preflight OPTIONS request checks if the cross-origin request is allowed.","semantic"
"Rust Option and Result replace exceptions and null with explicit sum types.","semantic"
"The Hugging Face Hub hosts thousands of pre-trained models, datasets, and spaces.","semantic"
"Comparing the two monetization strategies: usage-based pricing aligns with customer value but creates revenue uncertainty. Seat-based pricing is predictable but penalizes power users. A hybrid — base seat fee plus usage tiers — captures both benefits without the downsides of either.","synthesis"
"Set up automated daily backups for the production database.","episodic"
"We benchmarked the Sulcus classifier — 93 percent accuracy with MiniLM embeddings.","episodic"
"Mean pooling averages all token embeddings to produce a fixed-size sentence embedding.","semantic"
"Completed the Sulcus iOS SDK and submitted it to the internal beta.","episodic"
"Prefer explicit memory types over letting the classifier guess everything.","preference"
"Always use named exports, never default exports.","preference"
"Had a 90-minute session with Dooley on the Sulcus pricing page redesign.","episodic"
"I deployed the server at 3pm today.","episodic"
"The Discord bot went offline for 2 hours — a reconnection bug in the gateway.","episodic"
"After running the classifier on 500 real agent memories from production, the model achieves 91 percent accuracy. The main failure mode is conflating procedural with semantic when the text lacks action verbs. A post-processing rule checking for imperative verbs could push accuracy to 94 percent.","synthesis"
"To run the Sulcus full test suite: cargo test --all-features --workspace with four test threads.","procedural"
"Deployed the classifier endpoint and ran the first live inference request.","episodic"
"gRPC uses Protocol Buffers for efficient binary serialization over HTTP/2.","semantic"
"OAuth 2.0 separates resource owner, client, auth server, and resource server roles.","semantic"
"I want type annotations on every Python function signature.","preference"
"Set up monitoring alerts for memory pressure on the Sulcus container.","episodic"
"Use tab width of 4 spaces for all Python code.","preference"
"Fixed the race condition in the Sulcus memory write path — no more duplicate inserts.","episodic"
"Prefer functional components over class components in React.","preference"
"Analyzing the first 90 days of Booker usage, power users book recurring appointments 5x more than casual users. The product core value is in the recurring flow. One-off booking is table stakes, not a differentiator.","synthesis"
"To add a new memory type to Sulcus: update the enum in schema.rs, add migration, update the classifier training data, retrain.","procedural"
"I want PRs to be small and reviewable — under 400 lines changed.","preference"
"Reviewing three months of agent-generated memories, the biggest classification error is labeling procedural steps as semantic facts. The distinction is tense and agency: procedures have actors and verbs; semantics are passive truths.","synthesis"
"ONNX is an open format for representing machine learning models.","semantic"
"To convert timestamps to UTC before storage: always use DateTime<Utc> in Rust, never store local time in the DB.","procedural"
"Always include a human-readable summary in synthesis memories.","preference"
"Synthesizing six months of content production: we spent 80 percent of effort on long-form content that generated 20 percent of leads. Short-form technical content generated 80 percent of leads. Inverting the ratio is the obvious move.","synthesis"
"Ran the Sulcus memory benchmark on the new ARM64 server — 12ms p99 latency.","episodic"
"Set up the Dependabot config for all active repos.","episodic"
"To export a sentence-transformer to ONNX: load the model, create a dummy input, call torch.onnx.export.","procedural"
"The Sulcus iOS companion app connected to the gateway for the first time.","episodic"
"Always include the source agent ID in stored memories for attribution.","preference"
"After analyzing the failure modes across all production incidents in the past 6 months, the common thread is missing retry logic on external API calls. Adding exponential backoff as a default would have prevented 4 of the 6 incidents.","synthesis"
"To export the tokenizer for ONNX inference: save the tokenizer with tokenizer.save_pretrained, load with AutoTokenizer.from_pretrained.","procedural"
"Sentence-transformer models are fine-tuned on NLI and STS benchmark datasets.","semantic"
"Always use a timeout on database queries — never let a query hang indefinitely.","preference"
"A random forest is an ensemble of decision trees that reduces variance via averaging.","semantic"
"KEDA scales containers based on event sources like queue length or CPU.","semantic"
"Synthesizing the benchmark results across six embedding models: the TF-IDF plus logistic regression baseline achieves 84 percent accuracy in 0.5ms. MiniLM-L6-v2 achieves 93 percent in 8ms. The 9 percent accuracy gain justifies the 16x latency increase for non-realtime classification.","synthesis"
"Synthesizing the three architecture proposals for the Sulcus sync backend: the event-sourcing approach gives us the best audit trail and replay capability, but adds operational complexity. Given our team size and timeline, the simpler CRDT-based approach with periodic snapshots is the pragmatic choice.","synthesis"
"Pushed the Sulcus SDK v0.3.0 to PyPI.","episodic"
"To update the Sulcus agent config: edit the YAML profile, validate with the config schema, apply with a rolling restart.","procedural"
"Use Tailwind CSS over styled-components for new projects.","preference"
"Reviewing the Sulcus memory graph after 30 days: episodic nodes decay fastest, semantic nodes remain warm longest, and preference nodes have the highest re-access rate. This validates the thermodynamic model but suggests we need a higher initial heat for procedural memories.","synthesis"
"The Sulcus memory model has five types: episodic, semantic, preference, procedural, synthesis.","semantic"
"To review a PR: checkout the branch, run tests locally, check diff for security issues, leave inline comments, approve or request changes.","procedural"
"Batch normalization stabilizes training by normalizing layer inputs.","semantic"
"A knowledge graph represents entities and their relationships as nodes and edges.","semantic"
"I prefer linear issue tracking over kanban boards — less visual clutter.","preference"
"Merged the CRDT sync branch into main after three days of review.","episodic"
"The CI pipeline time dropped from 12 minutes to 4 after parallelizing test jobs.","episodic"
"Prefer incremental builds and hot reload over full restarts during dev.","preference"
"Shipped the Sulcus changelog digest feature — weekly email of memory highlights.","episodic"
"Completed a performance audit of the Sulcus API — found three N+1 query problems.","episodic"
"Database migration workflow: write the migration SQL, run against staging, verify, then apply to production with a backup taken first.","procedural"
"Reviewing the Warden Godot codebase after 3 months: the core gameplay loop is solid, but 70 percent of bugs come from the same two systems. Fixing these two systems would eliminate most QA cycles.","synthesis"
"Dropout randomly zeros out neuron activations during training.","semantic"
"Ran the first agent-to-agent memory handoff test — memories transferred cleanly.","episodic"
"After reviewing all three sync approaches — CRDT, OT, and manual conflict resolution — CRDT is the best fit for Sulcus. OT requires centralized ordering, which conflicts with our offline-first goal. Manual resolution puts too much burden on clients. CRDTs give us merge-free convergence at the cost of metadata overhead, which is acceptable.","synthesis"
"To configure per-type decay rates: set episodic_lambda=0.05, semantic_lambda=0.01, preference_lambda=0.02 in the agent config.","procedural"
"To publish an npm package: bump version in package.json, run npm publish --access public, tag the release on GitHub.","procedural"
"To set up the Sulcus Python SDK: pip install sulcus-sdk, then configure with the SULCUS_API_KEY environment variable.","procedural"
"To debug a container OOM: check docker stats, inspect logs with docker logs --tail 100, increase memory limit in compose file.","procedural"
"To set up the Sulcus memory namespace: POST to /agents with the namespace parameter, use the returned namespace in all memory inserts.","procedural"
"Had an unexpected insight about thermodynamic memory while reading a physics paper.","episodic"
"Always add trailing commas in multi-line function arguments.","preference"
"Discovered a performance regression introduced 6 commits ago via git bisect.","episodic"
"Use structured error types, not string errors, in Rust.","preference"
"Based on the three-week experiment with different Discord post cadences, daily posts generated the most engagement but also the highest unsubscribe rate. Three posts per week, consistently on Monday/Wednesday/Friday, maximized total reach while keeping churn under 2 percent.","synthesis"
"I want the agent to always confirm before deleting or overwriting memories.","preference"
"To set up the development Postgres: run docker compose up -d db, wait for healthy status, run migrations, seed test data.","procedural"
"A webhook consumer must verify the signature before processing the payload.","semantic"
"I want memories pinned by the agent to bypass decay entirely.","preference"
"Spent the afternoon refactoring the webhook handler — much cleaner now.","episodic"
"Attention heads in a transformer learn different aspects of token relationships.","semantic"
"I want all external API calls wrapped in a retry policy with backoff.","preference"
"We implemented the CRDT sync for Sulcus last week — offline writes now merge correctly.","episodic"
"After analyzing five product bets from Q1: three shipped on time, one was cancelled due to user research invalidating the assumption, one is 3 weeks behind. The cancelled bet saved 6 weeks of build time. The early user interview was the highest-ROI activity of the quarter.","synthesis"
